self_employed,income_annum,loan_amount,loan_term,cibil_score,assets,loan_status
No,792834,830310,15,725,811436,Approved
No,432519,2194760,15,755,376960,Rejected
No,759679,1313560,10,794,1521240,Approved
No,738298,550330,10,800,1364044,Approved
No,686285,2779460,10,753,1692140,Rejected
No,970029,1702580,15,714,906723,Approved
No,515232,1593260,10,735,887911,Approved
No,593652,1867880,15,787,907694,Approved
Yes,801794,1942860,20,703,1548298,Approved
No,800288,2690650,10,683,93587,Rejected
No,991817,1798380,10,736,949054,Approved
No,649879,1344560,15,661,1469604,Rejected
No,381271,3361850,10,691,1303846,Rejected
No,665319,1134590,20,795,1107569,Approved
Yes,394780,2664540,15,685,891810,Rejected
No,425021,759170,10,735,976948,Approved
Yes,949516,2885610,15,670,880008,Rejected
No,486861,3080780,20,738,984579,Rejected
No,867911,2814150,10,717,1381430,Approved
No,827983,1665500,10,719,2312876,Approved
No,885265,1537190,20,684,613818,Rejected
No,969881,1177870,15,702,1584816,Approved
Yes,1031816,2809020,10,651,1281344,Rejected
Yes,961021,1044220,15,699,1520638,Rejected
Yes,257315,1799220,15,702,569546,Rejected
No,887014,738740,10,828,727819,Approved
Yes,738900,2246060,15,699,769498,Rejected
No,624076,1147800,10,774,444381,Approved
No,708794,1154700,10,716,1130017,Approved
Yes,426898,2039470,10,721,796076,Rejected
No,630487,2852380,10,713,1191696,Rejected
No,718227,3388250,10,742,1065030,Rejected
No,695625,1982630,15,666,1260208,Rejected
Yes,1462069,1223440,15,780,713729,Approved
No,1024542,2977920,10,664,1591246,Rejected
No,765300,2555770,20,728,1619948,Rejected
Yes,814395,2885200,15,777,802374,Rejected
No,790875,2204730,10,757,804415,Approved
No,944599,2519620,15,618,1810926,Rejected
No,545968,1810180,20,777,982600,Approved
Yes,1048437,1732810,10,674,1376336,Rejected
Yes,396924,1917210,20,664,856353,Rejected
No,545444,1340790,10,691,576034,Rejected
Yes,936396,1751400,15,750,1220125,Approved
No,793082,2288900,20,713,644520,Approved
No,831558,1235530,15,688,574526,Rejected
Yes,500980,1972710,10,715,1022756,Rejected
Yes,964669,1976240,10,715,652469,Approved
Yes,668138,1909320,15,656,1362016,Rejected
Yes,508509,1948620,20,676,1822575,Rejected
Yes,599003,1458950,20,785,490802,Approved
Yes,835709,1862840,10,780,801140,Approved
No,865564,2300170,15,613,766458,Rejected
No,574384,2100960,10,710,1593024,Rejected
No,895252,1572110,20,692,1561349,Rejected
Yes,1409704,2643610,10,695,869158,Rejected
No,658509,1999340,10,809,1262254,Approved
Yes,964264,1713220,10,667,524095,Rejected
Yes,524750,863820,15,759,994093,Approved
